Ressource;"Code Attributaire";Attributaire;Territoire;"Date d'effet";"N° décision d'attribution"
2-016-0;SEWA;Sewan;Métropole;01/01/2019;2020-1465
2-016-1;SFR0;"Société française du radiotéléphone";Métropole;08/12/2011;2011-1436
2-016-2;FRTE;Orange;Métropole;01/01/2017;2016-1702
2-016-3;FRTE;Orange;Métropole;01/01/2017;2016-1702
2-016-4;FRMO;"Free mobile";Métropole;11/05/2010;2010-0561
2-016-5;SFR0;"Société française du radiotéléphone";Métropole;08/12/2011;2011-1436
2-016-6;FRMO;"Free mobile";Métropole;11/05/2010;2010-0561
2-016-7;FRTE;Orange;Métropole;01/01/2017;2016-1702
2-017-0;SFR0;"Société française du radiotéléphone";Métropole;08/12/2011;2011-1436
2-017-1;MCI;"Verizon France";Métropole;01/01/2018;2017-1484
2-017-2;TDF;TDF;Métropole;30/07/2013;2013-0983
2-017-3;MCI;"Verizon France";Métropole;01/01/2018;2017-1484
2-017-4;SFR0;"Société française du radiotéléphone";Métropole;08/12/2011;2011-1436
2-017-5;SFR0;"Société française du radiotéléphone";Métropole;08/12/2011;2011-1436
2-017-6;SFR0;"Société française du radiotéléphone";Métropole;08/12/2011;2011-1436
2-017-7;SFR0;"Société française du radiotéléphone";Métropole;08/12/2011;2011-1436
2-018-0;FRTE;Orange;Métropole;01/01/2017;2016-1702
2-018-4;FRTE;Orange;Métropole;01/01/2017;2016-1702
2-018-5;SFR0;"Société française du radiotéléphone";Métropole;08/12/2011;2011-1436
2-018-6;VUET;VueTel;Métropole;15/10/2015;2015-1224
2-018-7;FRTE;Orange;Métropole;01/01/2017;2016-1702
2-019-1;FRTE;Orange;Métropole;01/01/2017;2016-1702
2-019-3;FRTE;Orange;Métropole;01/01/2017;2016-1702
2-019-4;COLT;"Colt technology services";Métropole;01/01/2018;2017-1522
2-019-5;SFR0;"Société française du radiotéléphone";Métropole;08/12/2011;2011-1436
2-019-6;COLT;"Colt technology services";Métropole;01/01/2018;2017-1522
2-019-7;SFR0;"Société française du radiotéléphone";Métropole;08/12/2011;2011-1436
2-020-0;FRMO;"Free mobile";Métropole;11/05/2010;2010-0561
2-020-1;SFR0;"Société française du radiotéléphone";Métropole;08/12/2011;2011-1436
2-020-2;CAWI;"Vodafone Enterprise France SAS";Métropole;12/03/2013;2013-0357
2-020-3;VIAT;"Zayo infrastructure France";Métropole;27/05/2014;2014-0586
2-020-4;FRMO;"Free mobile";Métropole;11/05/2010;2010-0561
2-020-5;FRTE;Orange;Métropole;01/01/2017;2016-1702
2-020-6;FRTE;Orange;Métropole;01/01/2017;2016-1702
2-020-7;FRTE;Orange;Métropole;01/01/2017;2016-1702
2-021-0;SFR0;"Société française du radiotéléphone";Métropole;08/12/2011;2011-1436
2-021-1;SFR0;"Société française du radiotéléphone";Métropole;08/12/2011;2011-1436
2-021-2;SFR0;"Société française du radiotéléphone";Métropole;08/12/2011;2011-1436
2-021-3;SFR0;"Société française du radiotéléphone";Métropole;08/12/2011;2011-1436
2-021-4;JETC;"Jet comm telecom";Métropole;02/12/2014;2014-1427
2-021-5;JETC;"Jet comm telecom";Métropole;02/12/2014;2014-1427
2-021-6;BOUY;"Bouygues Telecom";Métropole;05/02/2013;2013-0171
2-021-7;SFR0;"Société française du radiotéléphone";Métropole;08/12/2011;2011-1436
2-022-0;FRTE;Orange;Métropole;01/01/2017;2016-1702
2-022-1;COLT;"Colt technology services";Métropole;01/01/2018;2017-1522
2-022-2;FRTE;Orange;Métropole;01/07/2018;2018-0668
2-022-3;SFR0;"Société française du radiotéléphone";Métropole;08/12/2011;2011-1436
2-022-4;SFR0;"Société française du radiotéléphone";Métropole;08/12/2011;2011-1436
2-022-5;SFR0;"Société française du radiotéléphone";Métropole;08/12/2011;2011-1436
2-022-6;SFR0;"Société française du radiotéléphone";Métropole;08/12/2011;2011-1436
2-022-7;SFR0;"Société française du radiotéléphone";Métropole;08/12/2011;2011-1436
2-023-0;BUDG;MINT;Métropole;06/05/2014;2014-0528
2-023-1;COLT;"Colt technology services";Métropole;01/01/2018;2017-1522
2-023-2;MAOR;"Maore mobile";Métropole;01/10/2019;2021-2033
2-023-3;SFR0;"Société française du radiotéléphone";Métropole;08/12/2011;2011-1436
2-023-4;VIAT;"Zayo infrastructure France";Métropole;27/05/2014;2014-0586
2-023-5;MAOR;"Maore mobile";Métropole;01/10/2019;2021-2033
2-023-6;PHON;Keyyo;Métropole;23/05/2013;2013-0600
2-023-7;TRAT;Transatel;Métropole;01/04/2020;2022-0198
2-149-0;MCI;"Verizon France";Métropole;01/01/2018;2017-1484
2-149-1;COMP;Completel;Métropole;20/12/2011;2011-1495
2-149-2;INCL;Nomotech;Métropole;19/02/2009;2009-0125
2-149-3;AIRN;Airnity;Métropole;24/06/2021;2023-1300
2-149-4;CAWI;"Vodafone Enterprise France SAS";Métropole;12/03/2013;2013-0357
2-149-5;CORI;"Coriolis telecom SAS";Métropole;16/02/2017;2017-0218
2-149-6;CORI;"Coriolis telecom SAS";Métropole;16/02/2017;2017-0218
2-149-7;UPCF;"SFR fibre SAS";Métropole;01/05/2014;2014-0283
2-150-0;FRTE;Orange;Métropole;01/01/2017;2016-1702
2-150-1;COMP;Completel;Métropole;19/03/2013;2013-0420
2-150-2;SWFR;"Sierra wireless France";Métropole;18/02/2025;2026-0053
2-150-3;SWFR;"Sierra wireless France";Métropole;18/02/2025;2026-0053
2-150-4;SWFR;"Sierra wireless France";Métropole;18/02/2025;2026-0053
2-150-5;FRTE;Orange;Métropole;01/01/2017;2016-1702
2-150-6;FRTE;Orange;Métropole;01/01/2017;2016-1702
2-150-7;ODIG;Odigo;Métropole;01/02/2019;2021-0070
2-151-0;CLXN;"Sinch Sweden AB";Métropole;01/12/2020;2022-2348
2-151-1;CLXN;"Sinch Sweden AB";Métropole;01/12/2020;2022-2348
2-151-2;BOUY;"Bouygues Telecom";Métropole;05/02/2013;2013-0171
2-151-3;SMAA;Syma;Métropole;05/06/2023;2025-1085
