MCC-MNC;Mnémo;Nom;Date_Attribution;Décision_Attribution
20801;FRTE;Orange;01/01/2017;2016-1702
20802;FRTE;Orange;01/01/2017;2016-1702
20803;ONOF;"Onoff telecom";31/01/2025;2025-0194
20804;GNTL;Nexera;30/04/2025;2025-0908
20805;GLOB;"Globalstar Europe";24/11/2023;2025-2272
20808;SFR0;"Société française du radiotéléphone";04/02/2016;2016-0134
20809;SFR0;"Société française du radiotéléphone";08/12/2011;2011-1436
20810;SFR0;"Société française du radiotéléphone";08/12/2011;2011-1436
20811;SFR0;"Société française du radiotéléphone";08/12/2011;2011-1436
20812;TRFR;"1GLOBAL Operations (France)";29/04/2024;2024-1013
20813;SFR0;"Société française du radiotéléphone";08/12/2011;2011-1436
20814;SNCR;"SNCF Réseau";18/06/2024;2024-1386
20815;FRMO;"Free mobile";23/02/2010;2010-0264
20816;FRMO;"Free mobile";24/07/2012;2012-0980
20817;LEGO;"Legos-Local exchange Global opération services";16/07/2013;2013-0927
20818;ARCEP;"Usage ARCEP";09/03/2018;
20819;HGNU;"Haute-Garonne numérique";14/03/2019;2021-0446
20820;BOUY;"Bouygues Telecom";18/07/2001;2021-1334
20822;TRAT;Transatel;09/11/2006;2006-1109
20824;SWFR;"Sierra wireless France";18/02/2025;2026-0053
20825;LYCA;"Lycamobile SARL";17/03/2011;2011-0303
20826;BOUY;"Bouygues Telecom";01/10/2024;2024-2129
20827;CORI;"Coriolis telecom SAS";16/02/2017;2017-0195
20828;AIFL;"Airmob Infra Full";04/02/2021;2023-0185
20829;CTFR;"Cubic telecom France";30/08/2018;2018-1066
20830;SMAA;Syma;05/06/2023;2025-1085
20833;SMFI;"Syndicat mixte La Fibre64";20/12/2019;2021-2450
20834;CEHI;"Cellhire (France)";11/04/2019;2023-0574
20837;IPDI;"IP Directions";26/11/2019;2021-2067
20838;LEFR;"Lebara France Limited";10/12/2024;2024-2778
20839;NWOT;Netwo;02/07/2021;2023-1541
20850001;EDFR;EDF;09/10/2023;2023-2209
20850008;EDFR;EDF;09/10/2023;2023-2209
