EZABPQM;Tranche_Debut;Tranche_Fin;Mnémo;Territoire;Date_Attribution
15;15;15;URG;National;19/12/2002
17;17;17;URG;National;19/12/2002
18;18;18;URG;National;19/12/2002
112;112;112;URG;National;19/12/2002
114;114;114;URG;National;14/12/2010
115;115;115;URG;National;19/12/2002
116000;116000;116000;URG;National;20/02/2007
116117;116117;116117;URG;National;09/02/2016
119;119;119;URG;National;19/12/2002
191;191;191;URG;National;17/12/2013
196;196;196;URG;National;17/12/2013
197;197;197;URG;National;17/03/2015
3008;3008;3008;NFB;National;17/07/2012
3170;3170;3170;NFB;National;17/07/2012
3171;3171;3171;NFB;National;17/07/2012
3172;3172;3172;NFB;National;17/07/2012
3173;3173;3173;NFB;National;17/07/2012
3174;3174;3174;NFB;National;01/01/2023
3175;3175;3175;NFB;National;01/01/2023
3179;3179;3179;NFB;National;17/07/2012
