Ressource;"Code Attributaire";Attributaire;"Date d'effet (attribution)";"N° décision d'attribution"
F0;FRTE;Orange;01/01/2017;2016-1702
F1;SFR0;"Société française du radiotéléphone";26/03/2015;2015-0347
F2;COMP;Completel;26/03/2015;2015-0347
F3;FREE;Free;26/03/2015;2015-0347
F4;BOUY;"Bouygues Telecom";26/03/2015;2015-0347
F5;COLT;"Colt technology services";01/01/2018;2017-1522
F6;OVH;OVH;26/03/2015;2015-0347
F7;MCI;"Verizon France";01/01/2018;2017-1484
F8;UPCF;"SFR fibre SAS";26/03/2015;2015-0347
F9;LEGO;"Legos-Local exchange Global opération services";26/03/2015;2015-0347
FA;440H;440HZ;26/03/2015;2015-0347
FB;ODOP;Odoip;01/08/2023;2025-1462
FC;ADIS;Adenis;26/03/2015;2015-0347
FD;ADON;"Add-on consulting";26/03/2015;2015-0347
FE;TEIR;"Telnyx Ireland Limited";23/01/2025;2025-0183
FF;AICT;"AIC Telecoms";26/03/2015;2015-0347
FG;PRTO;Provectio;11/07/2024;2024-1548
FH;DLPL;"Did logic pte Ltd";03/06/2025;2025-1129
FI;ALNI;Alnilam;26/03/2015;2015-0347
FJ;ALPL;Alphalink;26/03/2015;2015-0347
FK;STEL;Telyo;11/03/2026;2026-0467
FL;WRDL;"Worldline France";01/07/2021;2023-1313
FM;CPOM;Capacom;21/04/2015;2015-0455
FN;EMOD;Auranext;28/07/2016;2016-0968
FO;AVIR;Novelcom;26/03/2015;2015-0347
FP;AVMI;"AVM Informatique";12/05/2016;2016-0677
FQ;AXLY;Axialys;26/03/2015;2015-0347
FR;BJTP;"BJT Partners";26/03/2015;2015-0347
FS;BRET;"Bretagne Telecom";26/03/2015;2015-0347
FT;BTSI;"BT France";26/03/2015;2015-0347
FU;BUDG;MINT;26/03/2015;2015-0347
FV;SDIR;TelcoSIP;10/10/2024;2024-2220
FW;BUYC;"Digicel Antilles Françaises Guyane";26/03/2015;2015-0347
FX;CELY;Celya;26/03/2015;2015-0347
FY;GRPH;"Phibee telecom";20/06/2019;2021-1227
G0;CLIM;"Compatel Limited";26/03/2015;2015-0347
G1;CMRP;CMRP;26/03/2015;2015-0347
G2;TEAM;Teambox;21/02/2025;2025-0349
G3;DVSC;"DVS Connect";20/09/2022;2024-1690
G4;DAUF;"Dauphin telecom";26/03/2015;2015-0347
G5;DIAB;"Diabolocom SAS";26/03/2015;2015-0347
G6;SNTW;"Sona network B.V.";16/10/2025;2025-2006
G7;DGLP;"PS Mobile Access";01/10/2020;2022-1923
G8;EVMI;"Even media interactive";11/09/2024;2024-2032
G9;FLEX;"Flex network";07/12/2023;2025-2094
GA;ETOI;"Etoile Dièse";26/03/2015;2015-0347
GB;EYES;"Eyes telecom";26/03/2015;2015-0347
GC;DYCL;"Dynamik cloud & télécom";04/11/2024;2024-2426
GD;CSCO;"Cisco international Limited";17/07/2024;2024-1613
GE;ANEL;"Annatel telecom";28/12/2018;2020-1407
GF;TYLI;Ty-line;24/12/2015;2015-1626
GG;GLOA;Globaltel;26/03/2015;2015-0347
GH;GSCO;"GS Communication";26/03/2015;2015-0347
GJ;GUYA;Guyacom;26/03/2015;2015-0347
GK;MIXW;"Color telecom";29/05/2018;2018-0617
GL;HALY;Halys;26/03/2015;2015-0347
GM;HUBT;"Hub One";26/03/2015;2015-0347
GN;GTTI;"Goto technologies Ireland unlimited";05/05/2025;2025-0893
GO;IDOM;"Idom technologies";26/03/2015;2015-0347
GP;ISOM;ISI-COM;23/04/2025;2025-0506
GQ;ALCC;Alcacom;18/12/2024;2024-2780
GR;INCL;Nomotech;26/03/2015;2015-0347
GS;INIT;"Foliateam operateur";26/03/2015;2015-0347
GT;IOVO;"Iovox Ltd";26/03/2015;2015-0347
GU;IPAR;Azalée;26/03/2015;2015-0347
GV;IPDI;"IP Directions";26/03/2015;2015-0347
GW;IPXT;Ipxtel;26/03/2015;2015-0347
GX;SVCM;Unyc;12/05/2015;2015-0568
GY;GHNT;GH-NET;09/05/2025;2025-0918
GZ;JAG;"Free Pro";26/03/2015;2015-0347
H0;INGR;Integraphone;18/08/2016;2016-1078
H1;KWAO;K-net;26/03/2015;2015-0347
H2;LANE;Lanestel;26/03/2015;2015-0347
H3;LIXT;"Leonix telecom";06/10/2025;2025-1405
H4;FVE9;"Five9 GmbH";09/10/2023;2025-1500
H5;LINK;Linkeo.com;26/03/2015;2015-0347
H6;COOL;"Coolwave Communications Limited";19/05/2025;2025-0985
H8;NTLS;Netalis;02/03/2017;2017-0265
H9;REPT;"Réseau concept";28/10/2019;2023-2041
HA;HEXA;Hexanet;19/04/2018;2018-0456
HB;KMPS;"KOMPaaS.tech GmbH";30/01/2026;2026-0250
HC;AIEX;"Altitude infrastructure exploitation";23/06/2015;2015-0732
HD;MIAS;"Canal+ Telecom";26/03/2015;2015-0347
HE;NXFR;"Nxo France";06/07/2018;2018-0802
HF;MWSP;Lasotel;26/03/2015;2015-0347
HG;CORI;"Coriolis telecom SAS";03/09/2018;2018-0862
HH;OPTM;Komeo;05/08/2025;2025-1618
HI;IPEV;Ipeva;15/07/2022;2024-1251
HJ;NORN;Nordnet;26/03/2015;2015-0347
HK;NOTL;Neotel;26/03/2015;2015-0347
HM;GETG;"Get & go telecom";18/05/2017;2017-0601
HN;NWTI;"Newtech interactive";26/03/2015;2015-0347
HP;PRSO;Prosoluce;20/06/2019;2021-0919
HQ;VGSF;"Viatel global services France";11/01/2016;2016-0004
HR;OPEN;"Destiny France Partenaires";26/03/2015;2015-0347
HS;OPST;"OPS Telecom";26/03/2015;2015-0347
HT;AXIO;Axione;30/09/2025;2025-1907
HU;RUBT;"Rubix telecom";13/02/2024;2025-2298
HV;TIMA;Timaca;12/09/2024;2024-2045
HX;OUTR;"Outremer Telecom";26/03/2015;2015-0347
HY;PAOP;"Paritel operateur";26/03/2015;2015-0347
HZ;PHON;Keyyo;26/03/2015;2015-0347
I1;STER;"Setera communications OY";19/09/2024;2024-2113
I2;THSY;"Thinkro system";06/08/2024;2024-1751
I3;BEET;"Bee Technology";14/04/2015;2015-0426
I4;ODIG;Odigo;01/02/2019;2021-0070
I5;R188;Wayscom;26/03/2015;2015-0347
I6;REMM;Remmedia;26/03/2015;2015-0347
I7;RMII;Adista;26/03/2015;2015-0347
I8;VOIM;"Voip telecom";12/06/2024;2024-1275
I9;SEWA;Sewan;26/03/2015;2015-0347
IA;SPMT;"SAS SPM Telecom";26/03/2015;2015-0347
IB;SRR;"Société réunionnaise du radiotéléphone";26/03/2015;2015-0347
IC;CYDS;Cyd-solutions;23/05/2024;2024-1178
ID;STMA;"Saint Martin cable";26/03/2015;2015-0347
IE;SYSE;Sysexpert;26/03/2015;2015-0347
IF;TLST;Ubefone;16/11/2017;2017-1340
IG;AIRC;Aircall;19/04/2022;2024-0808
IH;THEC;TCLR;26/03/2015;2015-0347
II;TOBJ;Telecom.object;26/03/2015;2015-0347
IJ;TRAT;Transatel;26/03/2015;2015-0347
IK;INFS;"Weaccess group";03/03/2022;2024-0206
IL;VIAD;Viadialog;26/03/2015;2015-0347
IM;VOXB;Voxbone;26/03/2015;2015-0347
IN;WAEL;Wanatel;26/03/2015;2015-0347
IO;WENG;Mybestpro;26/03/2015;2015-0347
IP;NORS;"Norest services SAS";18/07/2019;2021-1177
IQ;SYST;System-net;24/11/2016;2016-1542
IR;RCFR;"Ringcentral France";20/04/2022;2024-0538
IS;ZEOP;Zeop;26/03/2015;2015-0347
IT;ASKS;"Alpes networks";01/04/2025;2025-0637
IV;LPUP;"Loopup Spain";05/07/2024;2024-1558
IW;TRTT;Trustteam;11/06/2025;2025-1154
IX;ESEY;"Eseye limited";26/03/2015;2015-0347
IY;FRMT;"Serinya telecom";26/03/2015;2015-0347
IZ;INNE;Infoline;26/03/2015;2015-0347
J1;TLON;Tel-on;26/03/2015;2015-0347
J2;FRSP;"Kaisa Technologies AB";13/06/2025;2025-1180
J3;NETE;Netensia;09/09/2015;2015-1066
J4;IMSD;"IMS dynamics";06/10/2015;2015-1176
J5;PLUG;"Plug and tel";26/04/2022;2024-0529
J6;KSGP;Kissgroup;20/03/2026;2026-0537
J7;RHOV;"Koesio networks";22/10/2015;2015-1284
J8;EURA;"Eurofiber France";11/03/2025;2025-0476
J9;ADSL;Celeste;25/02/2016;2016-0253
JA;APPE;"Appel telecom";25/02/2016;2016-0268
JB;DIMT;"Dimension Telecom";26/02/2016;2016-0271
JC;OECO;Oecom;24/03/2016;2016-0412
JD;BICS;BICS;07/07/2016;2016-0878
JE;TLKC;"Talkcycle LLC DBA FrontSpin";13/05/2024;2026-0572
JF;SOCT;"Société commerciale de télécommunication - SCT";04/08/2016;2016-1008
JG;ORBS;"Orange business services";23/11/2023;2025-2213
JH;CIRQ;"Foliateam cloud";29/09/2016;2016-1245
JI;DFRA;Digifrance;29/09/2016;2016-1246
JJ;TELN;Tel@ndcloud;13/10/2016;2016-1307
JK;TOTA;Totalcloud;01/12/2016;2016-1584
JL;BIBR;"Bits brothers";26/06/2018;2018-0758
JM;SYNE;Synelyans;22/12/2016;2016-1741
JN;W3TE;W3tel;23/03/2017;2017-0375
JO;UNXO;Unixo;30/01/2026;2025-2273
